domain,model,ctx,n_q,n_cells,flip_rate,err_rate,OR_flip,OR_flip_lo,OR_flip_hi,OR_err,OR_err_lo,OR_err_hi,flip_by_dlo_tercile,n_boot_flip,n_boot_err
computational,llama31-8b-instruct,in_context,157,471,0.533,0.027,1.275,0.824,2.027,0.929,0.518,2.135,"[0.604, 0.597, 0.398]",1000,1000
computational,llama31-8b-instruct,preemptive,157,471,0.446,0.022,1.381,1.153,1.749,1.119,0.819,1.451,"[0.396, 0.509, 0.436]",1000,1000
computational,olmo3-7b-instruct,in_context,202,606,0.085,0.002,1.509,0.832,3.148,1.372,0.022,5.612,"[0.111, 0.109, 0.036]",1000,1000
computational,olmo3-7b-instruct,preemptive,202,606,0.08,0.002,1.234,0.79,1.708,1.209,0.424,2.205,"[0.128, 0.064, 0.049]",1000,1000
computational,olmo3-7b-think,in_context,345,1035,0.241,0.003,1.412,1.048,2.028,1.033,0.649,1.744,"[0.281, 0.269, 0.174]",1000,1000
computational,olmo3-7b-think,preemptive,345,1035,0.409,0.016,1.072,0.862,1.455,0.78,0.525,1.116,"[0.393, 0.499, 0.335]",1000,1000
computational,olmo3-7b-think-dpo,preemptive,341,1023,0.391,0.028,0.855,0.681,1.182,0.748,0.453,1.142,"[0.432, 0.462, 0.282]",1000,1000
computational,tulu3-llama31-8b,in_context,108,324,0.447,0.001,3.634,2.161,6.723,1.828435900464644e+64,1.0,1.790786067256195e+69,"[0.497, 0.546, 0.298]",1000,1000
computational,tulu3-llama31-8b,preemptive,108,324,0.408,0.001,1.604,1.173,2.502,0.0,0.0,1.0,"[0.39, 0.441, 0.393]",1000,1000
medical_advice,llama31-8b-instruct,in_context,301,903,0.612,0.131,1.243,0.76,2.657,2.982,2.022,8.204,"[0.605, 0.633, 0.598]",1000,1000
medical_advice,llama31-8b-instruct,preemptive,301,903,0.409,0.082,0.923,0.755,1.154,0.93,0.747,1.128,"[0.419, 0.437, 0.372]",1000,1000
medical_advice,olmo3-7b-instruct,in_context,235,705,0.386,0.118,1.016,0.76,1.318,1.152,0.765,1.769,"[0.403, 0.408, 0.345]",1000,1000
medical_advice,olmo3-7b-instruct,preemptive,235,705,0.298,0.044,0.896,0.72,1.099,0.96,0.687,1.328,"[0.296, 0.319, 0.279]",1000,1000
medical_advice,olmo3-7b-think,in_context,276,828,0.7,0.337,2.288,1.002,7.698,4.328,2.071,16.623,"[0.699, 0.753, 0.637]",1000,1000
medical_advice,olmo3-7b-think,preemptive,275,825,0.734,0.289,0.911,0.681,1.22,0.879,0.691,1.133,"[0.704, 0.802, 0.697]",1000,1000
medical_advice,olmo3-7b-think-dpo,preemptive,276,828,0.762,0.215,1.15,0.894,1.575,0.89,0.68,1.174,"[0.725, 0.79, 0.773]",1000,1000
medical_advice,olmo3-7b-think-sft,preemptive,252,756,0.721,0.293,1.079,0.81,1.501,0.916,0.727,1.158,"[0.692, 0.754, 0.719]",1000,1000
medical_advice,tulu3-llama31-8b,in_context,380,1140,0.304,0.032,0.741,0.492,1.085,4.552,2.677,14.021,"[0.342, 0.318, 0.251]",1000,1000
medical_advice,tulu3-llama31-8b,preemptive,380,1140,0.177,0.003,1.24,0.977,1.578,0.59,0.081,1.922,"[0.185, 0.187, 0.159]",1000,1000
